name,creator,category,format,date,endDate,location,description
Suzume,Makoto Shinkai,Movie,Movie,2025/04/11,,,"My main impression of this was, it's so beautifully animated. At some points, you completely forget you're watching a hand-animated movie, and you just begin to believe that it's real. The music was also wonderfully scored and fit very well with every scene. I'm not particularly keen on the plot - it felt like there were some unexplained holes - but it was solid and sensible overall."
Beethoven and Dvorak,The Philadelphia Orchestra,Music,Orchestra concert,2025/03/22,,the Kimmel Center,"The Beethoven Violin Concerto and Dvorak 7. Despite playing violin, I've never listened to the Beethoven Violin Concerto all the way through before. I have to say, I didn't like it as much as I was hoping. I couldn't latch onto any clear melodies until the third movement, and that made it rather forgettable for me. But the main reason I came to this concert was for Dvorak 7. Everyone loves Dvorak 9; I love Dvorak 8; I feel like nobody even knows Dvorak 7. After listening, I can somewhat understand why. Similar to the Beethoven, I didn't find it particularly memorable or catchy, with the huge exception of the third movement - the only one that I loved and found myself humming for weeks after the concert."
The Joy of Abstraction,Eugenia Cheng,Book,Book,2025/03/22,2025/10/03,,"I'm not sure why I decided to read this, since I used to hate reading my textbooks in college. This felt rather like a textbook as opposed to the novels I'm used to reading. But it was certainly more approachable (that is, much less rigorous) than an actual math textbook. I think it does a good job of introducing sets, functions, groups, etc. in an approachable way, sacrificing rigor for ease of understanding. I won't claim to have understood all of the later stuff (Yoneda embedding?), but I definitely learned a lot of new ways to think about old things, particularly things from my modern algebra classes, that made them click for me more. But I definitely had to take notes like I was a student again to fully wrap my head around everything. And you can see - it took me more than a few months to get through this entire book."
Hyperion,Dan Simmons,Book,Audiobook,2025/03/09,2025/03/17,,"I'm not a big sci-fi person, but the storytelling in this was interesting, at least. Still, it felt like 6 separate stories, and while they were all interesting and immersive in their own right, they ultimately felt disconnected, with only one thing connecting them, even if the descriptions of that one thing vary wildly between each story. The book also just... ends in such a weird way. "
Valentine's Day Concert,The Philadelphia Orchestra,Music,Orchestra concert,2025/02/14,,the Kimmel Center,"Other than the fact that getting in was hard due to the Eagles Superbowl parade, this was a nice concert! A welcoming mix of classical (Thais Meditation, Tchaik Romeo & Juliet, Mozart Marriage of Figaro) and more well-recognized tunes (Cinema Paradiso, Star Wars, West Side Story). And they played the Eagles fight song at the end. Go birds, I suppose."
Catch-22,Joseph Heller,Book,Book,2025/02/13,2025/02/17,,"An excellent book, and I think it well deserves its reputation. It has an incredible mix of writing styles - sometimes dry, ironic, and humorous, sometimes descriptive, dramatic, and thrilling. The non-linear storytelling left me confused in a few parts, but I think contributed well to the sense of how everything in war blurs together in a mess of death and suffering. Each character is depicted in a unique way that makes them easily identifiable and lovable or hate-able. This book's writing style was one of the first to make me laugh while reading in a while."
Philadelphia Auto Show,,Other,Convention,2025/01/11,,,"Not particularly interested in cars, but there was a cool jeep display where they drove up a crazy incline ramp"
Pops Saves the World,The Michigan Pops Orchestra,Music,Orchestra Concert,2024/11/24,,the Michigan Theater,"My first Pops concert as an alum! I went back to Michigan just to see all my freinds play again. A heroes and villains theme, and the intro skits and movies were as wonderfully fun as ever. The quality of music was also much better than I remembered it being when I was in the orchestra, though perhaps my standards were lowered after graduating and only playing in small community orchestras."
Mario & Luigi: Brothership,Nintendo,Video Game,Video Game (Nintendo Switch),2024/11/17,2024/11/29,,"Finally, a new entry in the Mario & Luigi series! I've only played Bowser's Inside Story before, but that was enough to get me hooked on this RPG, story-based take on these characters. However, I was a bit underwhelmed this time around. The story isn't particularly interesting - it's the same cycle of exploring and reconnecting islands, over and over. Neither is the gameplay particularly exciting - none of the battles were very exciting. I think the only things that saved this game for me were the awesome music all throughout the game and the goofy, squishy animations. The ending was also rather eerie for a Mario game, but it was much more interesting than the rest of the game, so I enjoyed it despite that."
Babel,R. F. Kuang,Book,Book,2024/11/03,2024/11/09,,"An interesting, fantastical novel where words have magical effects, and in particular, when their translations mean more than the literal translations. This is a pretty common thing to run into when learning/speaking a different language, and turning it into a magical ability was a clever idea. The book itself was alright in terms of this concept and the plot, but I can't say I enjoyed the author's writing style. Too often did it feel like she was trying to write a dissertation and prove how much smarter she was than the reader."
Bernstein and Copland,The Philadelphia Orchestra,Music,Orchestra concert,2024/10/20,,the Kimmel Center,"Two of my favorite pieces: West Side Story and Appalachian Spring! Highly recommend, especially for anyone who isn't super into classical music yet - these are good introductory pieces. I love the mambo in West Side Story and the Simple Gifts section in Appalachian Spring, but the other sections in both pieces are all beautiful, fun, or groovy in their own ways."
The God of the Woods,Liz Moore,Book,Book,2024/10/13,,,"A reasonably interesting mystery novel. But frankly, it was kind of forgettable to me. It felt to me like, after one mystery was resolved, everyone forgot about the other. I don't remember enough of the book to have any other comments."
Counterpoint,Philip Kennicott,Book,Book,2024/09/22,2024/09/25,,"A book purchased for me by a friend, when we visited a bookstore and decided we should each choose a book for each other. Knowing I was a musician who loved Bach, my friend chose this book. I wasn't a huge fan of the writing style, but it was a touching mix of narrative and philosophizing about the Bach Chaconne (one of my favorite pieces of music) and Goldberg Variations in relation to the well-known feelings of futility and uselessness when practicing. It also touches on other things that bubble up in the process of learning classical music: practicing ""correctly,"" audiences not really knowing what's good or bad, stage fright, imposter syndrome, the levels of ""knowing"" a piece of music. All of this is contextualized by themes of death and mortality as the author tries to rationalize a relationship with a passed-away mother. I think it's a worthwhile read for anyone who's played an instrument seriously enough to get to the inevitable point of burnout, and it certainly made me sit back and think about my relationship with music."
Super Mario Wonder,Nintendo,Video Game,Video Game (Nintendo Switch),2024/09/18,2024/09/21,,"New Super Mario Bros. for the DS was my first video game ever, and I decided to play Mario Wonder to relive that joy, despite being years late to the game. It was a bit underwhelming in terms of gameplay. None of the levels were hard at all, which I suppose is to be expected for a Mario platformer. The wonder effects were a visual and aural delight, but none of them felt particularly revolutionary in terms of how I had to play the game. As a programmer though, I certainly respect how much time and effort must've went into making them. I didn't end up 100%-ing the game, though I'm sure that would've offered much more playtime and challenges, because some of the levels, such as the search parties, just ended up being really annoying. Overall, not a huge fan of this game."
Ace Attorney Investigations Collection,CAPCOM,Video Game,Video Game (Nintendo Switch),2024/09/12,2024/09/16,,"The Investigation games were the last ones that I hadn't played (excluding the Layton crossover), and I was excited when it was translated and remade for Switch. Unfortunately, I was a bit disappointed with the game. Nothing strayed far from the existing successful Ace Attorney formula, but some of the cases and lines of logic didn't feel clear to me, and the overarching plot throughout each game didn't feel as present as other Ace Attorney games, like the Great Ace Attorney. Still, I liked the investigation phases more than the standard Ace Attorney phases, and I liked the mind chess minigame for introducing a sense of urgency into an otherwise very choose-your-own-pace game. I wouldn't call the games bad, but they didn't live up to my excitement for them."
The Romance of the Three Kingdoms,Luo Guanzhong (transl. Moss Roberts),Book,Book,2024/06/27,2024/07/07,,"I grew up hearing a lot about the Three Kingdoms. My Chinese isn't nearly good enough to read the original (I did try), but I enjoyed the story. There's plenty of interesting war tactics and betrayal, though admittedly, it becomes so complex that it's hard to follow along by the end of it. The various battles and encounters are often narrated much more briefly than in a modern Western novel, which takes some getting used to, but I found quite appealing. There is, of course, political bias throughout the book towards Liu Bei and Zhuge Liang - some of the predictions of the latter feel quite overdramatized - but the book is overall an interesting read. Especially for a summer after graduation with not much else to think about."
The Legend of Zelda: Tears of the Kingdom,Nintendo,Video Game,Video Game (Nintendo Switch),2023/05/12,2023/05/22,,"This is perhaps my favorite single-player game ever. I'd played Breath of the Wild before, but much after the release, so a lot of that was spoiled for me. Tears adds a lot of new things on top of Breath of the Wild's already impressive features. It was a better sense of progression, and a much larger world with the depths. I loved the new variety of enemy types, and the bosses were reasonably challenging. Ultrahand shenanigans were awesome, though not my thing, and I just resorted to using them when I needed to in shrines. I didn't care about the story at all. Oddly enough, other than the music (especially during boss battles), the one thing I liked the most was the combat. It wasn't significantly different from Breath of the Wild, but the fact that there are more enemies at encampments gave me a bigger rush of one-man-armying my way through them with a storm of flurry rushes. I ended up getting all the shrines a few weeks later, though I'm not insane enough to actually 100% the game."
The Great Ace Attorney Chronicles,CAPCOM,Video Game,Video Game (Nintendo Switch),2021/08/02,2021/08/07,,"Perhaps my favorite Ace Attorney game(s) in the series. Loved the expressive animations, particularly Herlock. Loved all the more orchestral music. Loved the jury examination phases, which provided more depth than just the standard cross-examinations. Loved how connected all the cases were. It's honestly quite hard for me to find something that I don't like about this game."
Xenoblade Chronicles 2,Monolith Soft,Video Game,Video Game (Nintendo Switch),2021/02/27,2021/04/24,,"I got this game a while before playing it, but what motivated me to actually finish it was Pyra/Mythra being added to Smash Ultimate. To be honest, everything was great, except for the most important thing: the gameplay. Combat felt super slow and boring, and the only real challenge is pressing buttons at somewhat the right time. The music is fantastic, the story is at least above-average, and I love the characters and how their different personalities interact with each other. It's just a shame that the core of a game - the gameplay - wasn't there for me."
